Company Name,Address,City,State,Zip,Phone,Website,Category,Description
"Altman Bail Bonds, Inc.",801 West Main Street,Tavares,FL,32778,(352) 636-5311,,,
Puddle Jumpers,111 West Ruby Street,Tavares,FL,32778,(352) 508-5862,,,
"Peralta & Dvoran, PA",416 West Caroline Street,Tavares,FL,32778,(352) 434-0075,,,
Infinity Financial Group,383 West Alfred Street,Tavares,FL,32778,(516) 398-3134,,,
Belton Bail Bonds,525 West Main Street,Tavares,FL,32778,(352) 516-6030,,,
Community health Centers,110 South Woodland Street,Winter Garden,FL,34787,(407) 905-8827,,,
Atwater Apartments,"16554 Cagan Crossings Boulevard, Suite 4",Clermont,FL,34714,(352) 404-7903,,,
Dennie and The Jets,38942 Tamiami Drive,Tavares,FL,32778,(407) 310-3294,,,
"DA Construction, Inc",1025 Bay Road,Mount Dora,FL,32757,(352) 602-4385,,,
UF Health,"701 North Palmetto Street, Suite F",Leesburg,FL,34748,(352) 322-0504,,,
Magical Meat Boutique,3725 West Old US Highway 441,Mount Dora,FL,32757,(706) 297-8780,,,
South State Bank,33749 Secret Hill Drive,Leesburg,FL,34788,(352) 508-1029,,,
"Deas Consulting, LLC",385 West Alfred Street,Tavares,FL,32778,(352) 406-1264,,,
Bru Incorporated,143 East Main Street,Tavares,FL,32778,(352) 508-9321,,,
San Jose's Mexican Restaurant,1990 State Road 19,Tavares,FL,32778,(352) 609-2243,,,
Auto Ride Customs II,29317 County Road 561,Tavares,FL,32778,(407) 462-8443,,,
Prestige Ford,17701 Highway 441,Mount Dora,FL,32757,(352) 357-5522,,,
Cousin Vinnie's Family Restaurant,10700 US Highway 441,Leeesburg,FL,34788,(352) 253-2442,,,
Jorden Hayes Chrysler Jeep,3401 US Highway 441/27,Fruitland Park,FL,34731,(352) 805-4831,,,
Tavares Village,1501 Sunshine Parkway,Tavares,FL,32778,(352) 742-7111,,,
Cousins Kolaches,359 E Burleigh Blvd,Tavares,FL,32778,(352) 446-1343,,,
Tom Dolan Inspections,939 Dora Avenue,Tavares,FL,32778,(352) 764-7473,,,
Titan Roofing,"450 East Highway 50, Suite 3",Clermont,FL,34711,(352) 721-0398,,,
Compass Self Storage,,,,,,,,NOT FOUND - Need to collect information
AdventHealth Centra Care,"2600 Westhall Lane, 3rd Floor",Maitland,FL,32751,(407) 756-8235,,,
City of Tavares Pro Shop,,,,,,,,NOT FOUND - Need to collect information
Tavadora Apartments,,,,,,,,NOT FOUND - Need to collect information
Symons AC & Heating Inc,"31116 Fairview Avenue, Suite A",Tavares,FL,32778,(352) 589-4711,,,
Central Lakes Realty,113 North Main Street,Tavares,FL,32778,(352) 901-5522,,,
